issue_assignee,median_resolution_days,avg_resolution_days,std_resolution_days,pct_fast_resolved,total_tickets,tickets_per_month,active_months,avg_priority,pct_high_priority,n_distinct_projects,n_distinct_categories,pct_reopened,resolution_rate,avg_comments,pct_sole_resolver,avg_first_response_days,avg_processing_steps,z_max,z_feature,mahalanobis,mahalanobis_sq,is_outlier_z,is_outlier_mah
3cxhog,2.180902777777778,10.720537367724868,15.509651184616386,0.5714285714285714,7.0,1.75,4.0,2.0,0.0,1.0,2.0,0.0,1.0,0.1428571428571428,0.1428571428571429,30.32832175925926,1.4285714285714286,2.038857634190915,pct_sole_resolver,3.1926878381249493,10.193255631710961,False,False
3cxhok,9.954756944444444,72.33736994049839,254.4091220672213,0.5234899328859061,149.0,11.461538461538462,13.0,2.0,0.0,27.0,6.0,0.0738255033557047,1.0,7.429530201342282,0.0268456375838925,22.782973499361432,3.0067114093959733,2.6924143092499184,std_resolution_days,4.859338652187889,23.613172136647208,False,False
3cxigp,0.0034852314814814,2.345250711364918,13.705241844354513,0.9543147208121828,197.0,0.0,0.0,2.071065989847716,0.0558375634517766,57.0,5.0,0.0050761421319796,1.0,3.49746192893401,0.0,7.021773440945774,2.2893401015228427,1.4009179270414158,n_distinct_projects,3.4166440530044264,11.673456584930515,False,False
3cxigq,0.0068057754629629,9.353532382068584,34.785912432024205,0.8454258675078864,317.0,0.0,0.0,2.0378548895899056,0.0378548895899053,62.0,6.0,0.0220820189274447,1.0,6.280757097791798,0.0063091482649841,7.021773440945774,2.378548895899053,1.5975151454273393,n_distinct_projects,3.85824949288504,14.88608914934767,False,False
3cxigs,0.0030556018518518,0.0041847289691943,0.0051386966314716,1.0,211.0,0.0,0.0,2.037914691943128,0.0473933649289099,61.0,5.0,0.0,1.0,2.938388625592417,0.004739336492891,7.021773440945774,2.023696682464455,1.5581957017501546,n_distinct_projects,3.6079038360325,13.01697009005803,False,False
3cxiog,0.2068260532407407,9.683653060548297,18.95718567323516,0.7843137254901961,102.0,0.0,0.0,1.931372549019608,0.0294117647058823,9.0,4.0,0.0098039215686274,1.0,3.343137254901961,0.088235294117647,7.021773440945774,2.3823529411764706,1.0245093779137333,pct_sole_resolver,2.6545247620194328,7.046501712174326,False,False
3cxior,3.1060241550925927,239.89671906250004,530.6227843423186,0.8,5.0,5.0,1.0,2.0,0.0,5.0,5.0,0.0,1.0,2.4,0.0,0.0066203703703703,1.8,5.28836129865844,std_resolution_days,8.348669985283436,69.70029052317253,True,True
3cxogo,0.0028645833333333,0.3955336393014301,3.623475110244313,0.99009900990099,404.0,40.4,10.0,2.900990099009901,0.5965346534653465,76.0,5.0,0.0099009900990099,0.9975247524752476,3.032178217821782,0.0247524752475247,0.0371138728456178,2.0024752475247523,2.147987356907925,n_distinct_projects,3.2012871778833967,10.248239595280642,False,False
3cxosg,0.1188773148148148,1.025636574074074,1.725738094724856,1.0,5.0,2.5,2.0,3.0,0.6,1.0,2.0,0.2,0.2,0.6,0.1999999999999999,0.0012702546296296,1.8,5.421196158183949,resolution_rate,7.830678844949773,61.319531172743915,True,True
4ggk,19.92817129629629,144.34739117660612,345.5500700206554,0.4502369668246445,211.0,6.393939393939394,33.0,2.0473933649289098,0.0379146919431279,24.0,8.0,0.0047393364928909,0.995260663507109,4.364928909952607,0.014218009478673,12.435451089559388,2.241706161137441,3.9301041046369374,std_resolution_days,5.050317520898993,25.50570706189935,True,False
4ggo,3.180143391203704,27.03580595516569,70.18344047747983,0.6240601503759399,133.0,8.3125,16.0,2.1954887218045114,0.1578947368421052,41.0,9.0,0.0150375939849624,0.9849624060150376,3.398496240601504,0.0300751879699248,62.41269933127572,2.1503759398496243,1.7235340439371374,avg_first_response_days,3.6311064248166094,13.184933868344459,False,False
4ggr,0.0420489756944444,22.711270940867006,41.351232429600856,0.6454545454545455,110.0,0.0,0.0,2.018181818181818,0.0181818181818181,13.0,4.0,0.009090909090909,1.0,2.3,0.0,7.021773440945774,1.6,1.0485466485672825,avg_processing_steps,2.6959402329249893,7.268093739503645,False,False
4gis,6.935267297453704,50.65468505468159,139.56903949271876,0.5408163265306123,98.0,4.666666666666667,21.0,2.091836734693877,0.0408163265306122,28.0,8.0,0.0816326530612244,1.0,3.836734693877551,0.0408163265306122,62.17184924768519,2.663265306122449,1.7146152380229986,avg_first_response_days,3.306667486029953,10.934049863167651,False,False
4glr,5.941597222222223,20.955701566951568,35.08347934771255,0.6153846153846154,13.0,1.8571428571428568,7.0,2.0,0.0,2.0,3.0,0.0,1.0,1.8461538461538465,0.0,11.126954237891738,2.1538461538461537,0.9755700339502861,avg_comments,2.0135884880861683,4.054538599353141,False,False
4gor,2.079670138888889,6.043675262345679,9.003335871120125,0.8333333333333334,6.0,3.0,2.0,2.0,0.0,4.0,3.0,0.0,1.0,0.6666666666666666,0.0,2.9982592592592594,2.1666666666666665,1.325226138183651,avg_comments,2.501114914135955,6.255575813713307,False,False
4grg,5.781400462962963,9.232937545687133,11.106968937526084,0.6491228070175439,57.0,3.5625,16.0,1.9824561403508767,0.0,15.0,2.0,0.0,1.0,3.6666666666666665,0.0,0.9756571502057614,2.701754385964912,0.9524823105997214,n_distinct_categories,2.669138962241636,7.124302799756357,False,False
4gsg,9.077430555555557,22.324025237127373,49.96166384956204,0.5284552845528455,123.0,6.833333333333333,18.0,2.0,0.0,12.0,6.0,0.024390243902439,1.0,1.910569105691057,0.0325203252032519,10.540054765130984,3.089430894308943,0.9564742870064705,avg_comments,2.7375224394613697,7.494029106554529,False,False
4hggg,10.970734953703705,28.912222222222223,68.59601757570032,0.46875,32.0,2.4615384615384617,13.0,2.5,0.4375,6.0,5.0,0.03125,0.90625,10.71875,0.03125,0.5096987123842592,3.0625,1.6546895055714848,avg_comments,2.719629331929087,7.396383703089053,False,False
4hggi,2.030034722222222,17.972300925925925,35.807149627147574,0.8,5.0,1.25,4.0,2.6,0.6,4.0,3.0,0.2,0.6,3.8,0.0,0.0010416666666666,2.8,3.1537402700362733,pct_reopened,4.655179688832877,21.670697935322163,False,False
4hggl,11.811435185185186,10.0420916005291,9.39181482739797,0.4285714285714285,7.0,1.1666666666666667,6.0,2.857142857142857,0.5714285714285714,4.0,2.0,0.0,0.8571428571428571,5.428571428571429,0.0,0.2456927910052909,2.7142857142857144,1.8327388400180527,avg_priority,3.510210200158503,12.321575649296797,False,False
4hghi,43.17501157407408,83.47354552469136,95.9458594538451,0.238095238095238,21.0,2.625,8.0,1.8571428571428568,0.0952380952380952,3.0,4.0,0.0476190476190476,1.0,9.904761904761903,0.0476190476190476,15.498199404761904,2.4285714285714284,1.5688931120188638,pct_fast_resolved,3.7101933362988837,13.76553459271664,False,False
4hghk,0.0023842592592592,0.8928979276895943,10.002211230963372,0.9835796387520526,609.0,38.0625,16.0,2.9573070607553364,0.6584564860426929,84.0,5.0,0.0065681444991789,0.9688013136289,2.863711001642036,0.0377668308702791,0.1220640495553118,1.911330049261084,2.462542906325403,n_distinct_projects,3.4909768547629856,12.186919400490867,False,False
4hgho,11.873055555555556,34.1578850308642,73.82272808771046,0.4952380952380952,105.0,6.176470588235294,17.0,2.1142857142857143,0.2095238095238095,4.0,5.0,0.1333333333333333,0.9809523809523808,9.80952380952381,0.3619047619047619,4.311078725961538,3.647619047619048,4.679977743526653,pct_sole_resolver,5.843123783165225,34.14209554539109,True,False
4hghq,0.0045717592592592,2.103889156497538,11.013068583257905,0.9518304431599228,519.0,32.4375,16.0,3.1734104046242773,0.7148362235067437,69.0,5.0,0.0057803468208092,0.9826589595375722,4.360308285163777,0.0462427745664739,0.6659511034396631,2.321772639691715,2.775774503165611,avg_priority,3.472103317126807,12.055501444802978,False,False
4hghs,0.0028761574074074,0.0048402189265536,0.0135083881888463,1.0,236.0,26.22222222222222,9.0,3.038135593220339,0.6694915254237288,60.0,4.0,0.0,0.9915254237288136,2.8771186440677967,0.0,0.0271560145951035,1.8644067796610169,2.3724167369472227,avg_priority,3.251971986010266,10.575321797795555,False,False
4hgi,27.29870949074074,158.66895691473766,335.55078490981407,0.32,150.0,5.555555555555555,27.0,2.02,0.0066666666666666,30.0,8.0,0.0133333333333333,1.0,4.026666666666666,0.0,60.6566251668335,2.7333333333333334,3.794314282161349,std_resolution_days,4.69890551449904,22.079713034189485,True,False
4hgih,3.9780439814814814,8.692887180335097,15.703356892370005,0.7857142857142857,84.0,5.25,16.0,2.6547619047619047,0.5238095238095238,6.0,4.0,0.0952380952380952,0.988095238095238,4.285714285714286,0.0,1.236038041053101,3.119047619047619,1.5086503559800275,pct_high_priority,3.1520512842932416,9.935427298814673,False,False
4hgir,3.03609375,11.457972034534537,20.2503136246948,0.7027027027027027,74.0,5.285714285714286,14.0,2.635135135135135,0.4189189189189189,7.0,3.0,0.0675675675675675,0.9324324324324323,5.594594594594595,0.0,0.0913117805305305,2.72972972972973,1.1707638728907959,avg_priority,1.9378549986291933,3.7552819957121506,False,False
4hgkl,1.0450694444444444,10.015101147342996,16.183022759374303,0.6956521739130435,23.0,3.8333333333333335,6.0,2.6956521739130435,0.391304347826087,6.0,2.0,0.0869565217391304,0.9130434782608696,4.652173913043479,0.0,0.001194234006734,2.8260869565217392,1.3512114915292655,avg_priority,2.749994654361453,7.562470599016568,False,False
4hgko,9.738125,10.927938924501426,10.184684513138,0.5384615384615384,13.0,2.6,5.0,2.5384615384615383,0.4615384615384615,2.0,2.0,0.0,1.0,9.076923076923077,0.0769230769230768,0.7242094017094016,2.6153846153846154,1.2320118267827525,pct_high_priority,3.051659364881297,9.312624879267721,False,False
4hgkr,1.157193287037037,2.217517251921733,3.725059959592348,0.981132075471698,106.0,35.333333333333336,3.0,3.30188679245283,0.9905660377358492,2.0,4.0,0.0566037735849056,0.9528301886792452,3.150943396226415,0.0471698113207547,0.0040408805031446,2.2358490566037736,3.1571481683669713,avg_priority,4.305196678493105,18.534718440508062,False,False
4hgks,0.0008449074074074,0.0030555555555555,0.0040565217083004,1.0,7.0,2.333333333333333,3.0,2.571428571428572,0.5714285714285714,2.0,3.0,0.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.4151342592592592,0.7142857142857143,4.8058420641987265,resolution_rate,6.723175448486018,45.201088111125166,True,True
4hgli,0.0811458333333333,1.2229423868312757,2.256127769865396,1.0,9.0,4.5,2.0,2.6666666666666665,0.4444444444444444,1.0,2.0,0.1111111111111111,0.5555555555555556,1.2222222222222223,0.1111111111111111,0.0011368312757201,1.4444444444444444,2.8686162127637695,resolution_rate,4.21444456772543,17.761543014430384,False,False
4hglq,0.0020486111111111,0.1478035484502629,2.342962241915448,0.9969788519637462,331.0,41.375,8.0,3.036253776435045,0.7190332326283988,56.0,5.0,0.0,0.9395770392749244,2.694864048338369,0.0422960725075528,0.0014108481593375,1.8821752265861027,2.3759295977730113,pct_high_priority,3.0908427423323133,9.553308857828334,False,False
4hgog,42.95319444444444,92.92705377492878,100.89032951584464,0.2461538461538461,65.0,4.333333333333333,15.0,2.7384615384615385,0.5846153846153846,10.0,4.0,0.0461538461538461,0.7384615384615385,14.046153846153846,0.0,5.300896267361111,2.1846153846153844,2.6410902789678636,avg_comments,4.646993828796693,21.594551644874546,False,False
4hgok,5.316950231481481,17.15109548611111,25.13669927553241,0.575,40.0,3.636363636363636,11.0,2.9,0.55,17.0,4.0,0.025,0.85,8.85,0.0,1.025502025462963,1.75,1.9605287901939223,avg_priority,3.543263704339595,12.55471767849035,False,False
4hgol,0.0021064814814814,0.039641290726817,0.5017587270345518,0.9981203007518796,532.0,40.92307692307692,13.0,3.0,0.6672932330827067,79.0,4.0,0.0037593984962406,0.9360902255639098,2.7537593984962405,0.0338345864661654,0.0009640638053467,1.922932330827068,2.26594568793948,n_distinct_projects,3.444940618629761,11.8676158658852,False,False
4hgop,0.4229803240740741,7.014447916666668,14.582494998204009,0.8,20.0,2.5,8.0,1.6,0.05,3.0,2.0,0.25,0.8,1.9,0.0,5.920620949074074,3.2,4.106062104272306,pct_reopened,6.7027203413220455,44.92645997397232,True,True
4hgor,0.0027488425925925,0.1832981078904992,2.4269051222129647,0.9951690821256038,414.0,29.571428571428573,14.0,2.973429951690821,0.6497584541062802,72.0,5.0,0.002415458937198,0.9516908212560388,2.8091787439613527,0.0338164251207729,0.12206672705314,1.9082125603864732,2.1794796871136097,avg_priority,3.124411209134268,9.761945403763859,False,False
4hgos,0.0016319444444444,0.2641270151936905,4.063756899963585,0.9958246346555324,479.0,39.91666666666666,12.0,3.05427974947808,0.7223382045929019,65.0,4.0,0.0041753653444676,0.977035490605428,2.720250521920668,0.0501043841336117,0.0542398805381581,1.8893528183716075,2.4205548251694124,avg_priority,3.3050957405451316,10.923657854169571,False,False
4hgpk,51.22221064814815,52.07225565843621,41.46754202591308,0.2222222222222222,9.0,1.2857142857142858,7.0,1.8888888888888888,0.0,5.0,1.0,0.0,0.7777777777777778,10.88888888888889,0.0,26.30388888888889,2.111111111111111,1.7051267651721762,avg_comments,4.548805339120236,20.691630013208762,False,False
4hgpl,6.192974537037037,16.877179398148147,31.59701107742488,0.6666666666666666,30.0,2.727272727272727,11.0,2.333333333333333,0.3333333333333333,3.0,3.0,0.0333333333333333,0.9666666666666668,8.566666666666666,0.0666666666666666,5.115974151234568,2.466666666666667,1.0167096382141676,avg_comments,2.4158503055934157,5.8363326990358,False,False
4hgqg,0.5843923611111111,3.59162037037037,5.251077489780675,0.9,10.0,1.6666666666666667,6.0,2.3,0.3,2.0,3.0,0.0,0.6,2.5,0.0,0.0022800925925925,2.1,2.549543719586248,resolution_rate,3.5897254270489123,12.886128641601495,False,False
4hgqk,5.653553240740741,27.61456111111111,62.635851368637546,0.64,25.0,1.9230769230769231,13.0,2.04,0.04,4.0,4.0,0.0,0.92,5.28,0.0,20.90548425925926,1.8,0.8271993084059439,avg_processing_steps,2.1250493937159654,4.515834925732592,False,False
4hgql,0.0037384259259259,0.0050975529100529,0.0052195261126122,1.0,7.0,7.0,1.0,2.4285714285714284,0.5714285714285714,6.0,2.0,0.0,1.0,2.4285714285714284,0.0,0.0005324074074074,1.8571428571428568,1.720197466542649,pct_high_priority,5.583589181228401,31.176468144730848,False,False
4hgqr,30.35575231481481,38.4735557568438,38.67336078774381,0.217391304347826,23.0,2.3,10.0,1.7826086956521738,0.0,3.0,4.0,0.217391304347826,0.8695652173913043,16.73913043478261,0.0,2.851984702093398,7.217391304347826,3.4868331632351732,pct_reopened,5.160132610073393,26.626968553542845,False,False
4hgrl,0.0020601851851851,0.0485398759608665,0.4269741869522177,1.0,265.0,66.25,4.0,2.962264150943396,0.6188679245283019,67.0,5.0,0.0,0.969811320754717,2.524528301886793,0.0150943396226415,0.0472724930118798,1.7433962264150944,2.67940899331191,tickets_per_month,3.7938748101370474,14.393486074992417,False,False
4hgsg,2.051435185185185,2.116451903292181,2.0721928382324166,1.0,9.0,2.25,4.0,3.0,0.7777777777777778,5.0,2.0,0.2222222222222222,0.8888888888888888,5.777777777777778,0.0,1.2110519547325105,3.333333333333333,3.579358966901537,pct_reopened,5.331268639048686,28.422425301704024,True,False
4hgsi,0.0166550925925925,2.346747685185185,4.1709631907784654,0.8888888888888888,9.0,1.8,5.0,3.555555555555556,0.6666666666666666,4.0,1.0,0.0,0.7777777777777778,2.111111111111111,0.2222222222222222,0.7324421296296296,1.1111111111111112,3.5126969809184407,pct_sole_resolver,6.1747219497136765,38.12719115627586,True,False
4hhgi,0.0018402777777777,0.0694539892977393,0.6671474450430567,1.0,462.0,57.75,8.0,2.984848484848485,0.6861471861471862,73.0,4.0,0.0043290043290043,0.9090909090909092,2.6406926406926408,0.0454545454545454,0.0810342100506146,1.770562770562771,2.258039041960088,tickets_per_month,3.5409755608833606,12.538507922773231,False,False
4hhgk,0.8722800925925925,4.269996807151979,6.253640049630625,0.8620689655172413,29.0,7.25,4.0,2.655172413793104,0.4482758620689655,4.0,3.0,0.0344827586206896,0.4827586206896552,4.310344827586207,0.0,0.2390824074074074,1.3793103448275863,3.3912349515890217,resolution_rate,4.399661624402145,19.357022409236922,False,False
4hhgo,0.001724537037037,0.002269085081585,0.0021104887058359,1.0,143.0,71.5,2.0,2.93006993006993,0.6293706293706294,37.0,4.0,0.0,1.0,2.762237762237762,0.034965034965035,0.0011430005180005,1.832167832167832,2.9396669044409767,tickets_per_month,3.9176179238683635,15.347730197414666,False,False
4hhgr,0.0,8.41693287037037,20.693230441051305,0.7777777777777778,27.0,2.4545454545454546,11.0,2.333333333333333,0.1851851851851851,8.0,4.0,0.0,0.2962962962962963,1.962962962962963,0.0,119.9100462962963,0.7407407407407407,4.7298724229659825,resolution_rate,7.875371571945338,62.02147739620478,True,True
4hhgs,0.0644328703703703,3.538693783068783,8.575576708987676,0.8571428571428571,7.0,3.5,2.0,2.7142857142857144,0.4285714285714285,3.0,1.0,0.0,0.8571428571428571,4.428571428571429,0.0,0.1636359126984126,2.2857142857142856,1.4067723394318181,avg_priority,3.0367406186394823,9.221793584894906,False,False
4hho,2.067204861111111,34.72053653676185,114.25982129518566,0.7027972027972028,286.0,8.9375,32.0,2.05944055944056,0.0489510489510489,48.0,11.0,0.0314685314685314,0.9965034965034965,5.370629370629371,0.0944055944055943,14.331771171262504,2.7587412587412588,2.463063259364449,n_distinct_categories,3.7700590542133727,14.21334527225623,False,False
4hhoo,0.0014583333333333,0.0438841493570722,0.3484852011178785,1.0,337.0,67.4,5.0,3.0178041543026706,0.7091988130563798,60.0,4.0,0.0,0.9495548961424332,2.777448071216617,0.0118694362017803,0.0042292422244202,1.9228486646884275,2.7364178690830387,tickets_per_month,3.685962546350582,13.586319893099267,False,False
4hhop,0.0017592592592592,0.0048994025837214,0.0373549112417287,1.0,334.0,55.66666666666666,6.0,3.0269461077844317,0.6916167664670658,57.0,4.0,0.0,0.874251497005988,2.592814371257485,0.0269461077844311,0.0052625889778667,1.8053892215568863,2.339052315265764,avg_priority,3.1979101585159926,10.22662938193978,False,False
4hlg,6.407729432870371,20.2462882781056,65.05085202020966,0.6445086705202312,346.0,10.8125,32.0,2.066473988439306,0.0375722543352601,81.0,9.0,0.0086705202312138,0.9971098265895952,2.6271676300578037,0.0346820809248554,21.577365798132845,2.4104046242774566,2.3445845752938492,n_distinct_projects,4.228745380436454,17.88228749256265,False,False
4hlo,7.073617586805555,25.17254355853526,36.27161363123372,0.5638297872340425,94.0,31.33333333333333,3.0,2.202127659574468,0.1914893617021276,15.0,8.0,0.0106382978723404,1.0,3.191489361702128,0.074468085106383,21.392937242798357,2.765957446808511,1.3245480693763925,n_distinct_categories,4.066492326877224,16.536359844551342,False,False
4hpg,10.14962962962963,37.73511254433089,73.53196955960532,0.5047169811320755,212.0,6.838709677419355,31.0,2.0047169811320757,0.0330188679245283,11.0,6.0,0.0283018867924528,1.0,9.141509433962264,0.0377358490566037,13.416324582204156,3.3254716981132075,1.312342022956977,active_months,2.4792137131069563,6.146500635257581,False,False
4hph,10.707060185185185,40.78516261938203,60.33163256284143,0.5056179775280899,89.0,5.235294117647059,17.0,2.168539325842697,0.1348314606741573,20.0,7.0,0.0224719101123595,0.9775280898876404,7.157303370786517,0.0674157303370787,61.07437010327635,2.292134831460674,1.6739750051533324,avg_first_response_days,2.877148238759233,8.277981987795355,False,False
4hpp,3.798001099537037,27.313092537647535,93.58754372320422,0.6793794440853265,1547.0,26.67241379310345,58.0,2.095022624434389,0.0730446024563671,89.0,11.0,0.0142210730446024,0.9935358758888172,5.741435035552683,0.0252100840336134,8.058781177858075,2.6961861667744023,4.122301718530729,total_tickets,4.753290565950641,22.593771204355363,True,False
4hsg,0.9176766550925928,10.264661907617846,16.805273959564662,0.6818181818181818,22.0,0.0,0.0,1.8636363636363635,0.0,11.0,4.0,0.0,1.0,5.5,0.0454545454545454,7.021773440945774,1.6363636363636365,1.1296645504225777,avg_priority,2.513720030515785,6.31878839181628,False,False
4hsq,20.01619212962963,153.77749305555557,303.847671923982,0.2,5.0,1.0,5.0,2.6,0.2,4.0,3.0,0.0,1.0,4.0,0.0,146.52159953703702,2.4,4.838131080416479,avg_first_response_days,7.366695881051095,54.26820820389517,True,True
4igh,10.838854166666666,33.51920919543651,80.10948684471013,0.5071428571428571,140.0,5.384615384615385,26.0,2.0142857142857142,0.0071428571428571,21.0,6.0,0.0,1.0,3.335714285714286,0.0142857142857142,5.5680182613168725,1.8,0.9407647509573229,active_months,2.7256443474446694,7.429137108757078,False,False
4ihh,7.068949201388888,335.646155218254,559.9517451592421,0.5714285714285714,7.0,2.333333333333333,3.0,2.0,0.0,5.0,2.0,0.0,1.0,5.428571428571429,0.0,0.0446759259259259,4.142857142857143,5.492549393130517,avg_resolution_days,12.864972504776379,165.5075175486522,True,True
4ihs,3.077019675925926,11.13137734059804,38.59089863179254,0.7784588441330998,1142.0,22.392156862745097,51.0,2.2425569176882663,0.169877408056042,42.0,7.0,0.0359019264448336,0.9938704028021016,6.288091068301226,0.0175131348511383,0.6842948437334182,3.361646234676007,3.3870149039864104,total_tickets,4.84887599514476,23.511598416291086,False,False
