contributors,turn_no,steps,spent_hours,comments_count,priority_numeric,Q1,Q2,Q3
2.0,1,2,2688.015,17,1.0,2,2,2
2.0,2,5,5178.746,3,2.0,2,2,2
1.0,1,5,7866.358,12,1.0,2,2,2
2.0,1,2,0.051,3,2.0,5,5,5
2.0,2,4,4815.721,17,2.0,4,4,4
2.0,1,1,0.131,3,2.0,1,1,1
2.0,2,3,4825.145,6,2.0,1,1,1
1.0,1,2,55.602,9,2.0,5,5,5
2.0,1,2,0.061,3,3.0,5,5,5
2.0,2,3,2932.219,27,2.0,5,5,5
3.0,1,2,0.047,4,2.0,5,5,5
2.0,2,2,22.461,8,2.0,4,4,4
2.0,3,2,4227.456,1,2.0,4,4,4
2.0,1,2,0.228,3,2.0,5,5,5
2.0,2,3,1724.779,52,2.0,4,4,4
2.0,1,2,0.038,3,3.0,5,5,5
2.0,2,2,668.692,12,2.0,3,3,3
3.0,1,2,0.1,3,3.0,5,5,5
2.0,2,2,0.214,2,2.0,3,3,3
2.0,3,2,847.032,6,2.0,3,2,3
2.0,1,2,0.085,3,3.0,5,5,5
2.0,2,8,190.062,8,2.0,2,2,2
1.0,1,3,43.8,4,2.0,5,5,5
2.0,1,1,1.068,2,2.0,5,5,5
2.0,2,2,167.903,2,2.0,5,5,5
2.0,1,2,0.368,4,3.0,5,5,5
2.0,2,3,21.689,1,2.0,5,5,5
2.0,1,2,0.245,3,2.0,5,5,5
2.0,2,4,2331.618,49,2.0,4,4,4
2.0,1,2,0.019,3,3.0,5,5,5
2.0,2,3,5848.792,2,2.0,1,1,1
1.0,1,8,7008.848,22,2.0,4,4,3
1.0,1,7,4029.686,52,2.0,2,2,2
2.0,1,2,0.063,4,3.0,5,5,5
2.0,2,2,191.83,7,2.0,5,5,5
2.0,1,2,0.124,2,3.0,5,5,5
2.0,2,3,5707.129,4,2.0,4,4,4
1.0,1,4,5706.887,4,2.0,1,1,1
2.0,1,2,0.041,3,2.0,5,5,5
2.0,2,3,5706.79,10,2.0,1,1,1
1.0,1,4,42.133,6,2.0,5,5,5
1.0,1,3,401.609,3,2.0,5,5,5
1.0,1,1,3785.073,4,2.0,5,5,5
2.0,1,1,500.191,2,2.0,1,1,1
2.0,2,1,695.48,2,2.0,5,5,5
2.0,3,1,0.002,0,2.0,1,1,1
2.0,4,2,7054.246,2,2.0,5,5,5
1.0,1,3,66.081,3,3.0,5,5,5
2.0,1,2,0.058,3,2.0,5,5,5
2.0,2,3,7920.4,85,2.0,1,1,1
1.0,1,3,149.997,8,2.0,5,5,5
2.0,1,2,0.073,3,3.0,5,5,5
2.0,2,2,4009.222,25,2.0,3,3,3
3.0,1,2,0.043,3,3.0,5,5,5
2.0,2,4,2348.37,47,2.0,3,3,3
2.0,3,2,148.068,7,2.0,3,3,3
1.0,1,3,1174.797,9,2.0,3,3,3
1.0,1,3,2276.856,11,2.0,5,5,5
3.0,1,2,0.08,3,3.0,5,5,5
2.0,2,4,1270.425,55,2.0,3,3,3
2.0,3,2,958.351,17,2.0,3,3,3
1.0,1,2,1.555,3,2.0,5,5,5
1.0,1,2,310.955,5,2.0,4,4,4
3.0,1,2,0.074,3,2.0,5,5,5
2.0,2,1,1.732,5,2.0,5,5,4
2.0,3,2,494.833,6,2.0,5,5,4
4.0,1,2,0.113,3,2.0,5,5,5
2.0,2,2,101.799,3,2.0,3,3,3
2.0,3,1,3457.109,28,2.0,3,3,3
2.0,4,2,401.719,7,2.0,3,3,3
2.0,1,2,0.014,2,2.0,5,5,5
2.0,2,5,4561.03,14,2.0,4,4,4
2.0,1,2,0.045,3,2.0,5,5,5
2.0,2,3,3116.621,17,2.0,1,1,1
2.0,1,1,0.159,3,2.0,5,5,5
2.0,2,2,94.111,3,2.0,4,4,4
2.0,1,2,0.012,2,2.0,5,5,5
2.0,2,1,0.28,4,2.0,4,4,4
1.0,1,2,595.033,5,2.0,5,5,5
1.0,1,2,75.987,6,3.0,5,5,5
2.0,1,2,0.103,3,2.0,5,5,5
2.0,2,5,1028.674,36,2.0,4,4,4
2.0,1,2,0.194,3,3.0,5,5,5
2.0,2,2,2204.83,6,2.0,2,2,2
3.0,1,2,0.063,3,3.0,5,5,5
2.0,2,1,0.037,3,2.0,5,5,5
2.0,3,1,10.126,0,2.0,3,3,3
2.0,4,6,3055.238,27,2.0,2,2,2
1.0,1,2,453.117,21,3.0,3,3,3
1.0,1,3,92.023,7,3.0,5,5,5
2.0,1,1,0.059,2,2.0,5,5,5
2.0,2,3,54.406,5,2.0,5,5,5
1.0,1,2,166.869,4,2.0,5,5,5
1.0,1,7,1722.405,15,2.0,3,3,3
1.0,1,3,480.469,8,3.0,4,4,4
1.0,1,3,4504.588,25,2.0,2,2,2
3.0,1,2,0.116,4,3.0,5,5,5
2.0,3,4,6744.583,15,2.0,3,3,3
2.0,1,2,0.041,3,2.0,5,5,5
2.0,2,2,0.36,3,2.0,5,5,5
3.0,1,2,0.045,3,2.0,5,5,5
2.0,2,1,20.868,2,2.0,3,3,3
2.0,3,3,7227.241,26,2.0,4,4,4
4.0,1,7,0.04,3,3.0,5,5,5
2.0,2,1,0.019,0,2.0,5,5,5
2.0,3,1,0.041,0,2.0,5,5,5
2.0,4,1,1542.439,10,2.0,2,2,2
2.0,5,5,5177.962,4,2.0,2,2,2
2.0,1,2,0.121,4,3.0,5,5,5
2.0,2,3,1365.234,24,2.0,3,3,3
1.0,1,2,1029.798,19,2.0,5,5,5
2.0,1,2,0.077,3,3.0,5,5,5
2.0,2,12,2808.854,30,2.0,3,3,3
2.0,1,2,0.057,3,1.0,5,5,5
2.0,2,5,119.173,8,2.0,3,3,3
2.0,1,2,0.036,3,2.0,5,5,5
2.0,2,3,304.376,5,2.0,5,3,5
1.0,1,3,50.921,6,2.0,5,5,5
4.0,1,2,0.058,3,2.0,5,5,5
2.0,2,1,0.061,2,2.0,5,5,5
2.0,3,2,2661.703,17,2.0,3,3,2
2.0,4,2,844.526,7,2.0,3,3,2
2.0,1,2,0.069,3,2.0,5,5,5
2.0,2,2,2537.785,23,2.0,2,2,2
2.0,1,2,0.19,3,3.0,5,5,5
2.0,2,2,4032.202,27,2.0,4,3,4
2.0,1,2,0.136,3,3.0,5,5,5
2.0,2,5,2856.12,34,2.0,2,2,2
1.0,1,1,1485.452,3,2.0,3,3,3
1.0,1,6,3725.373,21,2.0,3,3,3
2.0,1,2,0.034,3,3.0,5,5,5
2.0,2,4,2343.058,20,2.0,3,3,3
3.0,1,2,0.098,3,3.0,5,5,5
2.0,2,1,0.838,1,2.0,5,5,5
2.0,3,1,0.025,0,2.0,5,5,5
2.0,4,1,0.078,0,2.0,5,5,5
2.0,5,1,0.106,1,2.0,5,5,5
2.0,6,2,0.274,2,2.0,5,5,5
3.0,1,2,0.013,2,3.0,5,5,5
2.0,2,1,0.043,2,2.0,5,5,5
2.0,3,1,0.021,0,2.0,5,5,5
2.0,4,7,7611.17,2,2.0,5,5,5
4.0,1,2,0.015,3,3.0,5,5,5
2.0,2,1,0.062,2,2.0,5,5,5
2.0,3,1,0.133,1,2.0,5,5,5
2.0,4,2,7517.346,85,2.0,3,3,3
1.0,1,3,168.53,7,2.0,5,5,5
3.0,1,2,0.014,2,2.0,5,5,5
2.0,2,1,0.052,2,2.0,5,5,5
2.0,3,3,21.186,6,2.0,5,5,5
2.0,1,2,170.081,10,2.0,3,3,3
2.0,2,3,2347.088,34,2.0,3,3,3
2.0,3,30,3146.149,75,2.0,3,3,3
2.0,1,2,0.046,3,2.0,5,5,5
2.0,2,3,23.569,4,2.0,4,4,4
2.0,1,2,0.072,3,3.0,5,5,5
2.0,2,5,841.688,10,2.0,3,3,3
1.0,1,2,0.194,3,3.0,4,4,4
2.0,1,2,0.05,3,3.0,5,5,5
2.0,2,3,3942.921,24,2.0,1,1,1
2.0,1,2,0.255,4,2.0,5,5,5
2.0,2,2,1053.635,6,2.0,4,4,4
2.0,1,2,0.061,3,3.0,5,5,5
2.0,2,4,2207.089,16,2.0,4,4,4
2.0,1,2,0.473,5,2.0,5,5,5
2.0,2,3,1493.93,7,2.0,1,1,1
2.0,1,2,0.083,3,2.0,5,5,5
2.0,2,2,171.099,10,2.0,3,3,3
3.0,1,2,0.134,3,2.0,5,5,5
2.0,2,2,117.68,5,2.0,3,3,3
2.0,3,2,48.595,1,2.0,4,3,4
2.0,1,2,0.083,3,2.0,5,5,5
2.0,2,1,0.351,2,2.0,5,5,5
1.0,1,2,4.28,5,2.0,4,4,5
1.0,1,3,2281.548,25,2.0,5,5,5
2.0,1,2,0.051,3,3.0,5,5,5
2.0,2,13,3862.732,42,2.0,5,5,5
3.0,1,2,0.044,2,3.0,5,5,5
2.0,2,1,0.015,1,2.0,5,5,5
2.0,3,6,7395.991,39,2.0,2,2,2
2.0,1,2,0.105,3,3.0,5,5,5
2.0,2,1,19.274,4,2.0,5,5,5
1.0,1,5,2262.527,6,3.0,3,3,5
1.0,1,3,18.8,4,3.0,5,5,5
2.0,1,2,0.042,3,3.0,5,5,5
2.0,2,2,2.112,6,2.0,5,5,5
2.0,1,2,0.06,3,3.0,5,5,5
2.0,2,3,2.776,4,2.0,3,3,5
1.0,1,3,189.449,6,3.0,4,4,3
2.0,1,2,0.079,3,3.0,5,5,5
2.0,2,3,648.83,22,2.0,3,3,3
1.0,1,4,2691.076,17,2.0,3,3,3
2.0,1,2,0.066,3,2.0,5,5,5
2.0,2,2,1005.934,10,2.0,2,2,2
1.0,1,2,457.262,7,3.0,5,5,5
3.0,1,1,0.015,2,2.0,5,5,5
2.0,2,2,0.022,1,2.0,5,5,5
2.0,3,1,0.038,0,2.0,5,5,5
2.0,4,4,1088.324,13,2.0,2,2,2
3.0,1,1,0.01,2,2.0,5,5,5
2.0,2,2,0.046,2,2.0,5,5,5
2.0,3,1,0.064,0,2.0,5,5,5
2.0,4,3,429.681,4,2.0,4,4,4
2.0,1,2,0.138,4,2.0,5,5,5
2.0,2,16,6617.32,82,2.0,2,2,2
4.0,1,1,0.091,2,2.0,5,5,5
2.0,2,2,0.034,0,2.0,1,1,1
2.0,4,1,0.051,1,2.0,5,5,5
2.0,5,3,54.925,4,2.0,4,4,5
1.0,1,5,0.165,4,2.0,5,5,5
2.0,1,1,0.018,2,3.0,3,3,5
2.0,2,2,18.088,2,2.0,4,4,5
2.0,3,2,362.281,1,2.0,4,4,5
2.0,1,2,0.062,4,2.0,5,5,5
2.0,2,2,313.462,30,2.0,3,3,3
2.0,1,2,0.248,4,3.0,5,5,5
2.0,2,3,1.289,4,2.0,5,5,5
4.0,1,2,0.054,3,1.0,5,5,5
2.0,2,1,0.136,1,2.0,1,1,1
2.0,3,2,3338.722,18,2.0,1,1,1
2.0,5,1,306.418,2,2.0,1,1,1
2.0,1,2,0.043,3,2.0,5,5,5
2.0,2,5,430.269,20,2.0,5,5,5
1.0,1,2,1.135,4,3.0,5,5,5
2.0,1,2,0.04,3,2.0,5,5,5
2.0,2,3,89.439,21,2.0,1,1,5
1.0,1,2,24.134,5,3.0,4,4,5
2.0,1,2,0.051,3,3.0,5,5,5
2.0,2,3,137.447,5,2.0,2,2,5
4.0,1,1,0.021,2,3.0,5,5,5
2.0,2,1,0.001,0,2.0,5,5,5
2.0,3,2,0.041,3,2.0,5,5,5
2.0,4,13,5178.541,55,2.0,1,1,1
1.0,1,3,646.884,6,2.0,3,3,3
3.0,1,2,0.01,2,3.0,5,5,5
2.0,2,1,0.273,1,2.0,5,5,5
2.0,3,2,4566.695,48,2.0,3,3,3
2.0,1,2,0.069,3,3.0,5,5,5
2.0,2,2,0.758,5,2.0,5,5,5
3.0,1,2,0.064,3,2.0,5,5,5
2.0,2,1,190.28,3,2.0,5,5,5
2.0,3,2,190.439,5,2.0,5,5,5
2.0,1,2,0.042,3,2.0,5,5,5
2.0,2,9,4707.922,147,2.0,2,2,2
2.0,1,2,0.042,3,2.0,5,5,5
2.0,2,3,1175.438,19,2.0,4,4,5
2.0,1,2,239.71,5,2.0,4,4,4
2.0,2,1,750.857,3,2.0,4,4,4
2.0,3,3,908.996,6,2.0,4,4,4
2.0,1,2,0.038,3,2.0,5,5,5
2.0,2,6,697.941,12,2.0,1,1,1
2.0,1,2,0.042,2,2.0,5,5,5
2.0,2,4,1060.425,10,2.0,1,1,1
2.0,1,2,0.057,3,1.0,5,5,5
2.0,2,2,242.106,2,2.0,4,4,4
2.0,1,2,0.046,3,3.0,5,5,5
2.0,2,3,190.272,3,2.0,4,4,4
3.0,1,1,0.054,2,2.0,4,4,4
2.0,2,1,28.228,0,2.0,4,4,4
2.0,3,2,477.601,3,2.0,4,4,4
1.0,1,3,120.394,4,2.0,3,3,3
3.0,1,2,0.009,2,2.0,5,5,5
2.0,2,1,0.016,1,2.0,5,5,5
2.0,3,1,0.004,0,2.0,5,5,5
2.0,4,8,2878.071,28,2.0,4,4,4
2.0,1,2,0.13,4,2.0,5,5,5
2.0,2,2,83.614,5,2.0,5,5,5
3.0,1,2,0.065,3,2.0,5,5,5
2.0,2,2,3895.661,72,2.0,1,1,1
2.0,3,2,1414.689,19,2.0,1,1,1
2.0,1,2,0.12,4,2.0,5,5,5
2.0,2,5,2738.95,58,2.0,1,1,1
2.0,1,2,70.843,5,2.0,4,4,4
2.0,2,1,169.012,1,2.0,4,4,4
3.0,1,2,0.074,3,3.0,5,5,5
2.0,2,2,1209.354,8,2.0,2,2,1
2.0,3,2,3494.826,17,2.0,2,2,1
2.0,1,2,0.032,3,3.0,5,5,5
2.0,2,2,5277.69,26,2.0,1,1,1
2.0,1,2,0.109,3,3.0,5,5,5
2.0,2,4,4179.977,37,2.0,1,1,1
3.0,1,2,0.011,3,3.0,5,5,5
2.0,2,1,0.006,1,2.0,5,5,5
2.0,3,1,0.036,1,2.0,5,5,5
2.0,4,4,5791.018,25,2.0,1,1,1
2.0,1,2,0.022,3,2.0,5,5,5
2.0,2,4,652.221,13,2.0,2,2,2
3.0,1,1,0.008,2,2.0,5,5,5
2.0,2,2,0.007,1,2.0,5,5,5
2.0,3,3,482.132,8,2.0,4,4,4
3.0,1,1,0.007,2,2.0,5,5,5
2.0,2,2,0.025,2,2.0,5,5,5
2.0,3,1,0.026,0,2.0,5,5,5
2.0,4,2,42.496,8,2.0,5,5,5
2.0,1,2,0.074,3,2.0,5,5,5
2.0,2,20,1560.796,45,2.0,4,4,4
3.0,1,1,0.009,2,3.0,5,5,5
2.0,2,2,0.096,2,2.0,5,5,5
2.0,3,3,4751.123,42,2.0,1,1,1
1.0,1,3,0.759,6,2.0,5,5,5
2.0,1,2,0.039,3,2.0,5,5,5
2.0,2,4,479.148,9,2.0,3,3,3
3.0,1,2,0.038,3,3.0,5,5,5
2.0,3,1,0.043,0,2.0,5,5,5
2.0,4,13,1647.838,54,2.0,3,3,3
3.0,1,1,0.012,2,2.0,5,5,5
2.0,2,2,0.114,1,2.0,5,5,5
2.0,3,3,171.834,9,2.0,4,4,4
2.0,1,2,0.03,3,2.0,5,5,5
2.0,2,9,4008.826,48,2.0,2,2,2
2.0,1,2,0.034,3,2.0,5,5,5
2.0,2,6,4031.506,40,2.0,1,1,1
3.0,1,2,0.062,3,3.0,5,5,5
2.0,2,1,0.269,2,2.0,5,5,5
2.0,3,1,0.329,0,2.0,5,5,5
2.0,4,3,284.622,5,2.0,5,5,5
2.0,1,2,0.061,4,2.0,5,5,5
2.0,2,2,0.252,2,2.0,4,4,4
3.0,1,3,0.04,3,2.0,5,5,5
2.0,2,3,4.422,2,2.0,4,4,4
2.0,3,4,2542.754,32,2.0,4,4,4
4.0,1,2,0.01,3,3.0,5,5,5
2.0,2,1,0.052,1,2.0,5,5,5
2.0,3,1,0.393,2,2.0,4,4,4
2.0,4,4,102.608,6,2.0,4,4,4
3.0,1,2,0.043,3,2.0,5,5,5
2.0,2,1,43.78,3,2.0,4,4,4
2.0,3,4,187.594,6,2.0,4,4,4
1.0,1,3,482.978,9,2.0,1,1,1
3.0,1,2,0.148,4,2.0,5,5,5
2.0,2,1,0.003,0,2.0,3,3,3
2.0,4,5,476.114,20,2.0,3,3,3
2.0,1,2,0.177,3,2.0,5,5,5
2.0,1,2,0.053,3,2.0,5,5,5
2.0,2,15,3360.28,41,2.0,3,3,3
2.0,1,2,0.129,4,2.0,5,5,5
2.0,2,2,1302.724,14,2.0,2,2,2
2.0,1,2,0.034,2,2.0,5,5,5
2.0,2,2,0.907,3,2.0,4,4,4
2.0,1,2,0.043,4,3.0,5,5,5
2.0,2,6,1672.03,15,2.0,2,2,2
1.0,1,3,521.444,7,1.0,4,4,4
1.0,1,12,3021.881,48,2.0,2,2,2
2.0,1,3,145.521,8,2.0,4,4,4
2.0,2,1,120.837,3,2.0,4,4,4
2.0,1,1,0.06,2,2.0,5,5,5
2.0,2,2,336.152,5,2.0,4,4,4
1.0,1,4,2425.795,31,2.0,2,2,2
3.0,1,2,0.089,4,2.0,5,5,5
2.0,2,7,3110.605,52,2.0,3,3,3
2.0,3,6,448.641,18,2.0,3,3,3
2.0,1,2,0.049,4,2.0,5,5,5
2.0,2,3,2738.413,15,2.0,3,3,3
2.0,1,2,0.046,4,2.0,5,5,5
2.0,2,5,1538.431,45,2.0,3,3,3
2.0,1,2,0.096,3,2.0,5,5,5
2.0,2,1,0.191,5,2.0,5,3,5
1.0,1,5,476.161,5,2.0,5,5,5
1.0,1,8,1612.545,19,2.0,5,4,5
1.0,1,16,2609.858,57,2.0,5,5,3
2.0,1,2,0.009,2,2.0,5,5,5
2.0,2,4,4321.367,7,2.0,5,5,5
1.0,1,5,5411.211,15,2.0,5,5,5
1.0,1,2,1091.975,7,2.0,5,5,5
1.0,1,2,967.372,5,2.0,5,5,5
1.0,1,2,0.507,3,2.0,5,5,5
1.0,1,2,140.105,5,2.0,5,5,5
2.0,1,2,0.032,3,2.0,5,5,5
2.0,2,9,2979.85,74,2.0,1,1,1
2.0,1,2,0.147,3,3.0,5,5,5
2.0,2,8,2330.604,27,2.0,1,1,1
5.0,1,1,3.606,2,2.0,5,5,5
2.0,2,2,1.461,1,2.0,5,5,5
2.0,3,1,0.503,2,2.0,5,5,5
2.0,4,1,0.001,0,2.0,5,5,5
2.0,5,2,2034.412,1,2.0,5,5,5
2.0,1,1,0.038,3,2.0,5,5,5
2.0,2,3,2.008,2,2.0,5,5,5
2.0,1,2,1.139,4,2.0,5,5,5
2.0,2,2,624.143,1,2.0,5,4,5
1.0,1,2,21.837,3,2.0,5,5,5
2.0,1,2,0.032,3,2.0,5,5,5
2.0,2,5,3809.368,96,2.0,1,1,1
1.0,1,2,97.986,5,2.0,5,5,5
1.0,1,4,192.907,9,3.0,5,5,5
1.0,1,2,66.994,6,2.0,5,5,5
3.0,1,2,0.187,3,3.0,5,3,3
2.0,2,1,1.102,3,2.0,5,5,5
2.0,3,3,21.794,7,2.0,5,5,5
1.0,1,2,2.756,6,3.0,5,5,5
2.0,1,2,0.058,3,2.0,5,5,5
2.0,2,2,0.725,5,2.0,5,5,5
1.0,1,3,386.416,5,2.0,5,5,5
2.0,1,2,0.022,3,3.0,5,5,5
2.0,2,2,1.542,5,2.0,5,5,5
1.0,1,5,3536.6,35,2.0,5,5,5
1.0,1,3,1.856,6,3.0,5,5,5
2.0,1,2,0.06,3,2.0,5,5,5
2.0,2,2,0.506,3,2.0,5,5,5
2.0,1,2,0.061,3,1.0,5,5,5
2.0,2,4,4793.961,14,2.0,1,1,1
4.0,1,1,0.008,2,2.0,5,5,5
2.0,2,2,0.003,2,2.0,5,5,5
2.0,3,1,0.246,2,2.0,5,5,5
2.0,4,1,0.002,0,2.0,5,5,5
2.0,5,2,3.457,4,2.0,5,5,5
3.0,1,2,0.023,2,2.0,5,5,5
2.0,2,1,0.406,2,2.0,4,4,4
2.0,3,1,0.051,0,2.0,5,5,5
2.0,4,1,0.065,0,2.0,4,4,4
2.0,5,7,1325.714,6,2.0,5,5,5
1.0,1,2,26.449,5,2.0,5,5,5
2.0,1,2,0.033,4,3.0,5,5,5
2.0,2,7,409.138,6,2.0,5,5,5
2.0,1,2,0.064,3,2.0,5,5,5
2.0,2,2,1.05,3,2.0,5,5,5
1.0,1,5,3356.034,43,3.0,3,3,3
3.0,1,2,0.042,3,2.0,5,5,5
2.0,2,1,0.081,1,2.0,5,5,5
2.0,3,6,2524.599,32,2.0,2,2,2
1.0,1,2,332.392,8,2.0,5,5,5
3.0,1,1,0.021,2,3.0,5,5,5
2.0,2,2,0.074,1,2.0,5,5,5
2.0,3,1,0.017,1,2.0,5,5,5
2.0,4,3,1.312,4,2.0,5,5,5
2.0,1,2,0.031,3,3.0,5,5,5
2.0,2,6,1877.788,11,2.0,2,2,2
1.0,1,5,168.412,8,2.0,5,5,5
2.0,1,1,1.75,4,2.0,5,5,5
2.0,2,3,267.227,2,2.0,5,5,5
1.0,1,6,503.995,17,2.0,4,4,4
3.0,1,2,0.054,3,2.0,5,5,5
2.0,2,2,95.456,3,2.0,5,5,5
2.0,3,4,44.848,3,2.0,5,5,5
2.0,1,2,0.045,3,2.0,5,5,5
2.0,2,3,94.526,2,2.0,4,4,4
1.0,1,3,1.522,3,2.0,5,5,5
1.0,1,3,264.794,4,2.0,5,5,5
2.0,1,2,0.216,6,2.0,5,5,5
2.0,2,2,0.509,2,2.0,5,5,5
1.0,1,3,52.338,4,2.0,5,5,5
2.0,1,2,0.042,3,2.0,5,5,5
2.0,2,5,4034.901,19,2.0,2,2,2
1.0,1,8,1053.036,33,2.0,3,3,3
2.0,1,2,0.044,3,3.0,5,5,5
2.0,2,10,1174.232,55,2.0,5,5,5
2.0,1,3,196.934,6,2.0,2,2,2
2.0,2,3,1457.289,16,2.0,2,2,2
4.0,1,1,0.009,2,3.0,5,5,5
2.0,2,2,0.036,2,2.0,5,5,5
2.0,3,1,1.899,1,2.0,5,5,5
2.0,4,2,2.268,1,2.0,5,5,5
1.0,1,4,49.82,7,2.0,5,5,4
1.0,1,4,1104.011,10,2.0,5,5,5
2.0,1,2,0.106,3,3.0,5,5,5
2.0,2,14,3280.393,28,2.0,1,1,1
2.0,1,2,0.075,3,3.0,5,5,5
2.0,2,5,1006.64,23,2.0,2,2,2
2.0,3,3,869.733,16,2.0,2,2,2
2.0,1,2,0.05,3,2.0,5,5,5
2.0,2,6,2092.889,20,2.0,1,1,1
3.0,1,2,0.084,3,3.0,5,5,5
2.0,2,2,4.135,7,2.0,2,2,3
2.0,1,4,586.507,2,2.0,1,1,1
2.0,2,1,17.08,0,2.0,1,1,1
2.0,1,1,0.057,4,2.0,5,5,5
2.0,2,3,2932.297,35,2.0,2,2,2
1.0,1,3,46.476,6,3.0,1,1,1
3.0,1,2,0.026,3,3.0,5,5,5
2.0,2,2,2710.113,23,2.0,1,1,1
2.0,3,1,653.692,8,2.0,1,1,1
1.0,1,4,1.807,5,2.0,5,5,5
3.0,1,1,0.008,2,3.0,5,5,5
2.0,2,3,0.032,1,2.0,5,5,5
2.0,3,5,98.735,20,2.0,5,5,5
3.0,1,2,0.23,3,2.0,4,5,4
2.0,2,2,86.035,5,2.0,5,5,5
2.0,3,2,0.066,1,2.0,5,5,5
2.0,1,2,0.078,4,3.0,5,5,5
2.0,2,7,2081.369,23,2.0,4,4,4
2.0,1,2,0.064,3,2.0,5,5,5
2.0,2,3,1.641,5,2.0,5,5,5
3.0,1,1,0.007,2,3.0,5,5,5
2.0,2,2,0.034,2,2.0,5,5,5
2.0,3,2,0.079,2,2.0,5,5,5
4.0,1,1,0.008,2,2.0,5,5,5
2.0,2,2,0.016,2,2.0,5,5,5
2.0,3,1,0.036,0,2.0,5,5,5
2.0,4,1,0.277,1,2.0,3,3,3
2.0,5,1,5.161,2,2.0,3,3,3
2.0,1,2,0.04,3,3.0,5,5,5
2.0,2,2,23.193,3,2.0,4,4,5
2.0,1,2,0.031,3,3.0,5,5,5
2.0,2,3,22.785,12,2.0,5,5,5
1.0,1,4,52.644,6,2.0,5,5,5
2.0,1,2,0.032,3,3.0,5,5,5
2.0,2,2,0.277,3,2.0,5,5,5
3.0,1,2,0.022,3,3.0,5,5,5
2.0,2,2,0.133,2,2.0,5,5,5
2.0,3,1,0.155,1,2.0,5,5,5
